City,State,Sales Rep,Auto Parts
Ajo,Arizona,Nataniel Regan,Roof rack
Alameda,California,Roscoe Benton,Bumper
Alexander City,Alabama,Hallam Gardner,Tires
Anaheim,California,Tom Burge,Rims
Arkadelphia,Arkansas,Neave Olsen,Grille
Athens,Alabama,Lenny Reyes,Sunroof Glass
Avondale,Arizona,Saffa Stokes,Quarter panel
Bakersfield,California,Xander Fox,Rims
Benton,Arkansas,Homer Buckley,Trim package
Bisbee,Arizona,Rio Proctor,Tires
Blytheville,Arkansas,Bibi Wolfe,Spoiler
Burbank,California,Braiden Haynes,Grille
Calistoga,California,Marianna Woodard,Outer door handle
Casa Grande,Arizona,Dannielle Mohammed,Inner door handle
Chandler,Arizona,Dawson Mcgowan,Radiator
Clifton,Arizona,Brady Fritz,Radiator
Cordova,Alaska,Aniyah Robles,Roof rack
Douglas,Arizona,Callie Mclaughlin,Spoiler
El Dorado,Arkansas,Sheila Lucas,Sunroof Glass
Fairbanks,Alaska,Haidar Kaye,Window motor
Flagstaff,Arizona,Erik Estes,Rims
Florence,Arizona,Marcos Mansell,Spoiler
Forrest City,Arkansas,Mahir Dawe,Tires
Fremont,California,Bentley Rubio,Trim package
Fresno,California,Jordyn Metcalfe,Sunroof
Gila Bend,Arizona,Bryony John,Sunroof Glass
Glendale,Arizona,Mattie Tanner,Quarter panel
Globe,Arizona,Ieuan Little,Rims
Hope,Arkansas,Rea Baxter,Trim package
Inglewood,California,Juniper Wheatley,Tires
Jasper,Alabama,Aj Mcnally,Roof rack
Kingman,Arizona,Vladimir Griffin,Grille
La Habra,California,Jayce Browning,Rims
Lake Havasu City,Arizona,Raya Beattie,Spoiler
Magnolia,Arkansas,Laura Maxwell,Inner door handle
Merced,California,Kishan Hills,Radiator
Mesa,Arizona,Kenan Leal,Rims
Newport,Arkansas,Shanae Sierra,Trim package
Nome,Alaska,Nicole Delarosa,Sunroof
Opelika,Alabama,Musa Marquez,Quarter panel
Oraibi,Arizona,Jazmin Ward,Rims
Osceola,Arkansas,Clare Noel,Tires
Pacific Grove,California,Jonathan Gibbons,Roof rack
Palmer,Alaska,Jethro Stein,Grille
Phenix City,Alabama,Ibraheem Betts,Sunroof Glass
Phoenix,Arizona,Joe Workman,Rims
Prescott,Arizona,Menachem Barclay,Spoiler
San Rafael,California,Cienna Mcintosh,Outer door handle
Scottsboro,Alabama,Emilee Guthrie,Radiator
Scottsdale,Arizona,Morwenna Figueroa,Roof rack
Searcy,Arkansas,Lacey-Mai Davidson,Spoiler
Seward,Alaska,Benas Bassett,Tires
Sierra Vista,Arizona,Finlay Chen,Sunroof
Sitka,Alaska,Eisa Garza,Quarter panel
Skagway,Alaska,Taha Robinson,Rims
Stuttgart,Arkansas,Tonisha Osborn,Trim package
Tempe,Arizona,Rehaan Gamble,Rims
Tombstone,Arizona,Lemar Salt,Roof rack
Troy,Alabama,Dwayne Barnett,Tires
Tucson,Arizona,Eiliyah Golden,Sunroof Glass
Tuscumbia,Alabama,Nimra Thornton,Spoiler
Tuskegee,Alabama,Eddison Mercer,Rims
Valdez,Alaska,Cairo Dunlap,Grille
Walpi,Arizona,Alastair Truong,Rims
Watts,California,Conan Eaton,Roof rack
West Memphis,Arkansas,Oliwier Sanderson,Tires
Window Rock,Arizona,Kabir Blundell,Sunroof Glass
Yuba City,California,Charles Bonilla,Rims
